Name,0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR,Bowler
KA Pollard,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,D Wiese
KA Pollard,0.2857142857,0.4285714286,0,0,0.1428571429,0,0.1428571429,0,,13,7,185.71,HV Patel
KA Pollard,0,0.6666666667,0,0,0,0,0.3333333333,0,,8,3,266.66,YS Chahal
HH Pandya,0,1,0,0,0,0,0,0,,1,1,100,S Aravind
HH Pandya,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,stumped,7,3,233.33,YS Chahal
AT Rayudu,0.5,0,0,0,0,0,0.5,0,caught,6,2,300,HV Patel
AT Rayudu,0,0,0.5,0,0,0,0.5,0,,8,2,400,YS Chahal
Harbhajan Singh,0.5,0,0.5,0,0,0,0,0,caught,2,2,100,MA Starc
Harbhajan Singh,0,1,0,0,0,0,0,0,,1,1,100,HV Patel
J Suchith,0,1,0,0,0,0,0,0,,2,2,100,MA Starc
J Suchith,0.5,0,0.5,0,0,0,0,0,caught,2,2,100,YS Chahal
MJ McClenaghan,0.5,0,0,0,0,0,0.5,0,,12,4,300,YS Chahal
DR Smith,0.8,0.2,0,0,0,0,0,0,,1,5,20,CH Morris
DR Smith,0.5,0.25,0,0,0.25,0,0,0,,5,4,125,SR Watson
DR Smith,1,0,0,0,0,0,0,0,caught,0,1,0,Ankit Sharma
BB McCullum,0.5,0,0,0,0.5,0,0,0,caught,4,2,200,CH Morris
BB McCullum,0.4285714286,0.2857142857,0,0,0.1428571429,0,0.1428571429,0,,12,7,171.42,SR Watson
BB McCullum,0.4,0.5,0,0,0.1,0,0,0,,9,10,90,Ankit Sharma
BB McCullum,0.5384615385,0.3076923077,0,0,0,0,0.1538461538,0,,16,13,123.07,PV Tambe
BB McCullum,0.375,0.3125,0.125,0,0.1875,0,0,0,,21,16,131.25,JP Faulkner
BB McCullum,0.3076923077,0.3846153846,0.1538461538,0,0.0769230769,0,0.0769230769,0,,19,13,146.15,R Bhatia
SK Raina,1,0,0,0,0,0,0,0,caught,0,4,0,CH Morris
SK Raina,0,0.5,0.5,0,0,0,0,0,,3,2,150,Ankit Sharma
F du Plessis,0.5,0.5,0,0,0,0,0,0,,1,2,50,CH Morris
F du Plessis,0.4545454545,0.2727272727,0,0.0909090909,0.1818181818,0,0,0,,14,11,127.27,Ankit Sharma
F du Plessis,0.2,0.4,0.2,0,0.2,0,0,0,,8,5,160,PV Tambe
F du Plessis,0,1,0,0,0,0,0,0,,2,2,100,JP Faulkner
F du Plessis,0.2,0.8,0,0,0,0,0,0,,4,5,80,R Bhatia
P Negi,0.5,0.5,0,0,0,0,0,0,caught,1,2,50,CH Morris
P Negi,0,1,0,0,0,0,0,0,,1,1,100,SR Watson
MS Dhoni,0.25,0.75,0,0,0,0,0,0,,3,4,75,CH Morris
MS Dhoni,0.3333333333,0,0,0,0.3333333333,0,0.3333333333,0,,10,3,333.33,JP Faulkner
DJ Bravo,0,0.8,0,0,0.2,0,0,0,,8,5,160,CH Morris
DJ Bravo,0,0.3333333333,0.3333333333,0,0.3333333333,0,0,0,,7,3,233.33,JP Faulkner
AM Rahane,0.5454545455,0.1818181818,0,0,0.2727272727,0,0,0,,14,11,127.27,A Nehra
AM Rahane,0.3333333333,0.1666666667,0.3333333333,0,0.1666666667,0,0,0,caught,9,6,150,MM Sharma
SR Watson,0.4285714286,0.4285714286,0,0,0.1428571429,0,0,0,,7,7,100,A Nehra
SR Watson,0.4545454545,0.2727272727,0.1818181818,0.0909090909,0,0,0,0,,10,11,90.9,MM Sharma
SR Watson,0.1666666667,0.6666666667,0,0,0.1666666667,0,0,0,,8,6,133.33,P Negi
SR Watson,0.5,0.5,0,0,0,0,0,0,caught,3,6,50,RA Jadeja
SPD Smith,1,0,0,0,0,0,0,0,,0,1,0,MM Sharma
SPD Smith,0,0.6666666667,0.3333333333,0,0,0,0,0,,4,3,133.33,P Negi
SPD Smith,1,0,0,0,0,0,0,0,bowled,0,2,0,RA Jadeja
KK Nair,0.4,0.4,0,0,0.2,0,0,0,,6,5,120,P Negi
KK Nair,0.4285714286,0.5714285714,0,0,0,0,0,0,caught,4,7,57.14,RA Jadeja
DJ Hooda,0.1428571429,0.4285714286,0.2857142857,0,0.1428571429,0,0,0,,11,7,157.14,P Negi
DJ Hooda,0.6666666667,0.3333333333,0,0,0,0,0,0,caught,1,3,33.33,RA Jadeja
DJ Hooda,0.25,0.75,0,0,0,0,0,0,,3,4,75,DJ Bravo
SV Samson,0,1,0,0,0,0,0,0,,2,2,100,A Nehra
SV Samson,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0,,5,3,166.66,P Negi
SV Samson,0.5,0.5,0,0,0,0,0,0,,2,4,50,RA Jadeja
SV Samson,0.125,0.625,0,0,0,0,0.25,0,caught,17,8,212.5,DJ Bravo
JP Faulkner,0.25,0.5,0,0,0.25,0,0,0,,6,4,150,A Nehra
JP Faulkner,0.5,0.5,0,0,0,0,0,0,caught,1,2,50,MM Sharma
JP Faulkner,0.5,0.5,0,0,0,0,0,0,,1,2,50,RA Jadeja
JP Faulkner,0,0.8,0,0,0.2,0,0,0,,8,5,160,DJ Bravo
CH Morris,0.25,0.75,0,0,0,0,0,0,,3,4,75,MM Sharma
CH Morris,0,0.5,0.3333333333,0,0,0,0.1666666667,0,,13,6,216.66,DJ Bravo
R Bhatia,1,0,0,0,0,0,0,0,caught,0,1,0,MM Sharma
Ankit Sharma,1,0,0,0,0,0,0,0,caught,0,1,0,DJ Bravo
PV Tambe,0,1,0,0,0,0,0,0,,1,1,100,DJ Bravo
DA Warner,0.5,0.3333333333,0,0.1666666667,0,0,0,0,,5,6,83.33,Sandeep Sharma
DA Warner,0.4615384615,0.1538461538,0,0,0.3076923077,0,0.0769230769,0,,24,13,184.61,Anureet Singh
DA Warner,0.2222222222,0.4444444444,0.2222222222,0,0,0,0.1111111111,0,caught,14,9,155.55,BE Hendricks
DA Warner,0.3,0.3,0.1,0,0.2,0,0.1,0,,19,10,190,Gurkeerat Singh
DA Warner,0.5,0.5,0,0,0,0,0,0,,3,6,50,GJ Maxwell
DA Warner,0.25,0.5,0,0,0,0,0.25,0,,16,8,200,AR Patel
S Dhawan,0.5,0.125,0.125,0,0.25,0,0,0,,11,8,137.5,Sandeep Sharma
S Dhawan,0.6666666667,0.3333333333,0,0,0,0,0,0,,1,3,33.33,Anureet Singh
S Dhawan,0,0.5,0,0,0.5,0,0,0,,10,4,250,BE Hendricks
S Dhawan,0,1,0,0,0,0,0,0,,2,2,100,Gurkeerat Singh
S Dhawan,1,0,0,0,0,0,0,0,stumped,0,1,0,GJ Maxwell
MC Henriques,0.5,0.5,0,0,0,0,0,0,,2,4,50,Sandeep Sharma
MC Henriques,0,0.5,0,0,0.5,0,0,0,,10,4,250,BE Hendricks
MC Henriques,0.5,0.3333333333,0,0,0.1666666667,0,0,0,caught,6,6,100,Gurkeerat Singh
MC Henriques,0.3333333333,0.5,0,0,0.1666666667,0,0,0,,7,6,116.66,GJ Maxwell
MC Henriques,0.25,0.75,0,0,0,0,0,0,,3,4,75,AR Patel
EJG Morgan,1,0,0,0,0,0,0,0,caught,0,2,0,BE Hendricks
EJG Morgan,0.2,0.2,0,0,0.2,0,0.4,0,,17,5,340,GJ Maxwell
NV Ojha,0.5,0.5,0,0,0,0,0,0,,1,2,50,Anureet Singh
NV Ojha,0,1,0,0,0,0,0,0,,1,1,100,BE Hendricks
KL Rahul,0,0.3333333333,0.3333333333,0,0.3333333333,0,0,0,,7,3,233.33,Sandeep Sharma
KL Rahul,0.25,0.25,0.25,0,0,0,0.25,0,,9,4,225,Anureet Singh
KL Rahul,0.6666666667,0.3333333333,0,0,0,0,0,0,,1,3,33.33,BE Hendricks
KV Sharma,0,0.6666666667,0,0,0,0,0.3333333333,0,,8,3,266.66,Sandeep Sharma
KV Sharma,0,1,0,0,0,0,0,0,,2,2,100,Anureet Singh
KV Sharma,0.5,0.5,0,0,0,0,0,0,,1,2,50,BE Hendricks
M Vijay,0.8,0.1,0,0,0.1,0,0,0,,5,10,50,B Kumar
M Vijay,0.2,0.2,0,0,0.4,0,0.2,0,,15,5,300,TA Boult
M Vijay,0.5,0,0,0,0.5,0,0,0,,4,2,200,I Sharma
M Vijay,1,0,0,0,0,0,0,0,caught,0,1,0,Bipul Sharma
M Vohra,0,0.5,0,0,0.5,0,0,0,,5,2,250,B Kumar
M Vohra,1,0,0,0,0,0,0,0,,0,1,0,TA Boult
M Vohra,0.2857142857,0.5714285714,0,0,0,0,0.1428571429,0,,10,7,142.85,I Sharma
M Vohra,0.6,0.2,0,0,0.2,0,0,0,caught,5,5,100,Bipul Sharma
WP Saha,0.5,0.5,0,0,0,0,0,0,,1,2,50,TA Boult
WP Saha,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,I Sharma
WP Saha,0.5,0.5,0,0,0,0,0,0,,1,2,50,Bipul Sharma
WP Saha,0.6666666667,0.3333333333,0,0,0,0,0,0,caught,1,3,33.33,MC Henriques
GJ Maxwell,0.5,0,0,0,0.5,0,0,0,caught,4,2,200,TA Boult
GJ Maxwell,0.5,0.25,0,0,0,0,0.25,0,,7,4,175,Bipul Sharma
DA Miller,0.1111111111,0.2222222222,0.4444444444,0,0,0,0.2222222222,0,,22,9,244.44,B Kumar
DA Miller,0.3,0.4,0.1,0,0,0,0.2,0,,18,10,180,TA Boult
DA Miller,0.4444444444,0,0,0,0.2222222222,0,0.3333333333,0,,26,9,288.88,I Sharma
DA Miller,0.2222222222,0.7777777778,0,0,0,0,0,0,,7,9,77.77,MC Henriques
DA Miller,0.2857142857,0.2857142857,0.1428571429,0,0,0,0.2857142857,0,,16,7,228.57,KV Sharma
GJ Bailey,0.5,0.5,0,0,0,0,0,0,,1,2,50,TA Boult
GJ Bailey,0.5,0.5,0,0,0,0,0,0,caught,3,6,50,MC Henriques
GJ Bailey,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,KV Sharma
Gurkeerat Singh,0.6666666667,0.3333333333,0,0,0,0,0,0,caught,1,3,33.33,MC Henriques
Gurkeerat Singh,0,1,0,0,0,0,0,0,,2,2,100,KV Sharma
AR Patel,0.3333333333,0.6666666667,0,0,0,0,0,0,caught,2,3,66.66,B Kumar
AR Patel,0,0.5,0,0,0.5,0,0,0,,5,2,250,TA Boult
AR Patel,0,0.6666666667,0,0,0.3333333333,0,0,0,,6,3,200,I Sharma
AR Patel,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,MC Henriques
DR Smith,0.75,0.1666666667,0,0,0,0,0.0833333333,0,,8,12,66.66,S Nadeem
DR Smith,0.875,0,0,0,0.125,0,0,0,,4,8,50,Z Khan
DR Smith,0,0.6666666667,0,0,0.3333333333,0,0,0,,6,3,200,GS Sandhu
DR Smith,1,0,0,0,0,0,0,0,lbw,0,1,0,JA Morkel
BB McCullum,0.5454545455,0.2727272727,0.0909090909,0,0.0909090909,0,0,0,,9,11,81.81,S Nadeem
BB McCullum,0.8,0.2,0,0,0,0,0,0,caught,2,10,20,Z Khan
SK Raina,0,1,0,0,0,0,0,0,,1,1,100,S Nadeem
SK Raina,0,0.6666666667,0.3333333333,0,0,0,0,0,,4,3,133.33,GS Sandhu
SK Raina,0.3333333333,0,0.3333333333,0,0.3333333333,0,0,0,,6,3,200,JA Morkel
SK Raina,1,0,0,0,0,0,0,0,caught,0,1,0,J Yadav
F du Plessis,0,0.5,0.5,0,0,0,0,0,,6,4,150,GS Sandhu
F du Plessis,0.375,0.375,0,0,0.25,0,0,0,bowled,11,8,137.5,JA Morkel
F du Plessis,0,1,0,0,0,0,0,0,,3,3,100,J Yadav
F du Plessis,0.25,0.625,0,0,0.125,0,0,0,,9,8,112.5,Yuvraj Singh
MS Dhoni,1,0,0,0,0,0,0,0,caught,0,1,0,Z Khan
MS Dhoni,0.25,0.5,0,0,0.25,0,0,0,,6,4,150,GS Sandhu
MS Dhoni,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,JA Morkel
MS Dhoni,0.75,0.125,0,0,0.125,0,0,0,,5,8,62.5,J Yadav
MS Dhoni,0.375,0.25,0.125,0,0.125,0,0.125,0,,14,8,175,Yuvraj Singh
DJ Bravo,0.6666666667,0,0,0,0,0,0.3333333333,0,caught,6,3,200,GS Sandhu
DJ Bravo,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,JA Morkel
DJ Bravo,1,0,0,0,0,0,0,0,,0,2,0,Yuvraj Singh
P Negi,0.75,0,0.25,0,0,0,0,0,,2,4,50,Z Khan
P Negi,0.25,0.75,0,0,0,0,0,0,,3,4,75,GS Sandhu
RA Jadeja,0,1,0,0,0,0,0,0,,1,1,100,Z Khan
RA Jadeja,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,GS Sandhu
Q de Kock,0.6,0.4,0,0,0,0,0,0,caught,2,5,40,IC Pandey
Q de Kock,0.5,0.5,0,0,0,0,0,0,,1,2,50,MM Sharma
SS Iyer,0.2857142857,0.2857142857,0,0,0.2857142857,0,0.1428571429,0,,16,7,228.57,IC Pandey
SS Iyer,0.4285714286,0.2857142857,0,0,0.2857142857,0,0,0,,10,7,142.85,MM Sharma
SS Iyer,0.4615384615,0.2307692308,0.1538461538,0,0.1538461538,0,0,0,,15,13,115.38,R Ashwin
SS Iyer,0.2857142857,0.5714285714,0,0,0.1428571429,0,0,0,,8,7,114.28,RA Jadeja
SS Iyer,0.25,0.5,0,0,0.25,0,0,0,,6,4,150,SK Raina
SS Iyer,0.2727272727,0.4545454545,0.0909090909,0,0.1818181818,0,0,0,,15,11,136.36,P Negi
JP Duminy,1,0,0,0,0,0,0,0,bowled,0,4,0,IC Pandey
JP Duminy,0,0.6666666667,0,0,0.3333333333,0,0,0,,6,3,200,MM Sharma
Yuvraj Singh,0.625,0.125,0,0,0.25,0,0,0,,9,8,112.5,IC Pandey
Yuvraj Singh,0.5,0.3333333333,0,0,0,0,0.1666666667,0,,8,6,133.33,R Ashwin
Yuvraj Singh,0.5,0.375,0,0,0.125,0,0,0,,7,8,87.5,RA Jadeja
Yuvraj Singh,0,1,0,0,0,0,0,0,,2,2,100,SK Raina
Yuvraj Singh,0.25,0.5,0,0,0.25,0,0,0,caught,6,4,150,P Negi
JA Morkel,0.8,0.2,0,0,0,0,0,0,,1,5,20,R Ashwin
JA Morkel,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,caught,7,3,233.33,P Negi
KM Jadhav,0,1,0,0,0,0,0,0,,1,1,100,RA Jadeja
DR Smith,0.875,0,0,0,0.125,0,0,0,,4,8,50,B Kumar
DR Smith,0.6,0.2,0,0,0.2,0,0,0,,5,5,100,TA Boult
DR Smith,0.625,0.125,0,0,0.25,0,0,0,,9,8,112.5,I Sharma
DR Smith,0.2,0.6,0,0,0,0,0.2,0,,9,5,180,KV Sharma
BB McCullum,0.5714285714,0.2857142857,0,0,0,0,0.1428571429,0,,8,7,114.28,B Kumar
BB McCullum,0.3,0.3,0,0,0.3,0,0.1,0,,21,10,210,TA Boult
BB McCullum,0.3333333333,0.1666666667,0.0833333333,0,0.1666666667,0,0.25,0,,30,12,250,I Sharma
BB McCullum,0.4615384615,0.3076923077,0,0,0,0,0.2307692308,0,,22,13,169.23,KV Sharma
BB McCullum,0.3333333333,0.5555555556,0,0,0.1111111111,0,0,0,,9,9,100,RS Bopara
BB McCullum,0.6,0,0,0,0.2,0,0.2,0,,10,5,200,Parvez Rasool
SK Raina,0.25,0.5,0,0,0.25,0,0,0,,6,4,150,B Kumar
SK Raina,0,0.5,0.5,0,0,0,0,0,,3,2,150,I Sharma
SK Raina,0,1,0,0,0,0,0,0,,1,1,100,KV Sharma
SK Raina,0.25,0.75,0,0,0,0,0,0,,3,4,75,RS Bopara
SK Raina,0,1,0,0,0,0,0,0,,1,1,100,Parvez Rasool
MS Dhoni,0.2,0.4,0.2,0,0,0,0.2,0,,10,5,200,B Kumar
MS Dhoni,0.625,0.125,0.125,0,0.125,0,0,0,caught,7,8,87.5,TA Boult
MS Dhoni,0.2,0.2,0,0,0,0,0.6,0,,19,5,380,KV Sharma
MS Dhoni,0.2727272727,0.4545454545,0,0,0.2727272727,0,0,0,,17,11,154.54,RS Bopara
RA Jadeja,1,0,0,0,0,0,0,0,,0,1,0,TA Boult
DA Warner,0,1,0,0,0,0,0,0,,4,4,100,A Nehra
DA Warner,0.1666666667,0.5,0.1666666667,0,0,0,0.1666666667,0,,11,6,183.33,MM Sharma
DA Warner,0.5454545455,0.1818181818,0,0,0.0909090909,0,0.1818181818,0,caught,18,11,163.63,IC Pandey
DA Warner,0.3333333333,0.5833333333,0.0833333333,0,0,0,0,0,,9,12,75,R Ashwin
DA Warner,0.2222222222,0.3333333333,0.4444444444,0,0,0,0,0,,11,9,122.22,DJ Bravo
S Dhawan,0.2222222222,0.4444444444,0,0,0.3333333333,0,0,0,,16,9,177.77,A Nehra
S Dhawan,0.5555555556,0.2222222222,0,0,0.2222222222,0,0,0,caught,10,9,111.11,MM Sharma
KL Rahul,0.8,0,0,0,0.2,0,0,0,,4,5,80,A Nehra
KL Rahul,0.6666666667,0.3333333333,0,0,0,0,0,0,bowled,1,3,33.33,MM Sharma
NV Ojha,0,1,0,0,0,0,0,0,,1,1,100,IC Pandey
NV Ojha,0.2857142857,0.4285714286,0.1428571429,0,0,0,0.1428571429,0,caught,11,7,157.14,R Ashwin
NV Ojha,0.3333333333,0.3333333333,0.3333333333,0,0,0,0,0,,3,3,100,DJ Bravo
RS Bopara,0.2,0.4,0.4,0,0,0,0,0,,6,5,120,IC Pandey
RS Bopara,0.6,0.4,0,0,0,0,0,0,,2,5,40,R Ashwin
RS Bopara,0.5,0.5,0,0,0,0,0,0,bowled,1,2,50,DJ Bravo
RS Bopara,0,0.3333333333,0,0,0,0,0.6666666667,0,,13,3,433.33,RA Jadeja
KS Williamson,0.25,0.5,0.25,0,0,0,0,0,,4,4,100,A Nehra
KS Williamson,0,0.5,0,0,0.25,0,0.25,0,,12,4,300,MM Sharma
KS Williamson,0,1,0,0,0,0,0,0,,1,1,100,IC Pandey
KS Williamson,0.1666666667,0.8333333333,0,0,0,0,0,0,,5,6,83.33,DJ Bravo
KS Williamson,0,0.6666666667,0.3333333333,0,0,0,0,0,,4,3,133.33,RA Jadeja
KV Sharma,0.5,0.5,0,0,0,0,0,0,,1,2,50,A Nehra
KV Sharma,0.25,0.75,0,0,0,0,0,0,caught,3,4,75,DJ Bravo
Parvez Rasool,0,1,0,0,0,0,0,0,,2,2,100,MM Sharma
WP Saha,0,0.4,0.2,0,0.4,0,0,0,,12,5,240,MA Starc
WP Saha,0.1666666667,0.1666666667,0,0,0.5,0,0.1666666667,0,,19,6,316.66,S Aravind
WP Saha,1,0,0,0,0,0,0,0,caught,0,1,0,D Wiese
M Vohra,0,1,0,0,0,0,0,0,,1,1,100,MA Starc
M Vohra,0,0.5,0,0,0,0,0.5,0,,7,2,350,S Aravind
M Vohra,0.5,0,0,0.5,0,0,0,0,,3,2,150,D Wiese
M Vohra,1,0,0,0,0,0,0,0,caught,0,1,0,HV Patel
GJ Maxwell,0.25,0.5,0.25,0,0,0,0,0,,4,4,100,S Aravind
GJ Maxwell,0.6666666667,0.3333333333,0,0,0,0,0,0,,1,3,33.33,D Wiese
GJ Maxwell,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0,caught,5,3,166.66,HV Patel
DA Miller,0,1,0,0,0,0,0,0,,1,1,100,HV Patel
DA Miller,0,0.3333333333,0,0,0,0,0.6666666667,0,stumped,13,3,433.33,YS Chahal
GJ Bailey,0,0.3333333333,0.3333333333,0,0.3333333333,0,0,0,,7,3,233.33,D Wiese
GJ Bailey,0,0.6666666667,0.3333333333,0,0,0,0,0,,4,3,133.33,HV Patel
GJ Bailey,0.3333333333,0.6666666667,0,0,0,0,0,0,bowled,2,3,66.66,YS Chahal
AR Patel,0,0.6666666667,0.3333333333,0,0,0,0,0,,4,3,133.33,MA Starc
AR Patel,0,0.6666666667,0,0,0.3333333333,0,0,0,,6,3,200,D Wiese
AR Patel,0.5,0.5,0,0,0,0,0,0,,2,4,50,HV Patel
AR Patel,0.4,0.4,0,0,0,0,0.2,0,,8,5,160,YS Chahal
Gurkeerat Singh,0.5,0.5,0,0,0,0,0,0,caught,1,2,50,MA Starc
Gurkeerat Singh,0,1,0,0,0,0,0,0,,1,1,100,YS Chahal
R Dhawan,0,1,0,0,0,0,0,0,,1,1,100,MA Starc
CH Gayle,0.625,0.125,0,0,0.125,0,0.125,0,caught,11,8,137.5,Sandeep Sharma
CH Gayle,0,0.5,0.5,0,0,0,0,0,,3,2,150,BE Hendricks
CH Gayle,1,0,0,0,0,0,0,0,,0,1,0,Anureet Singh
CH Gayle,0,1,0,0,0,0,0,0,,3,3,100,R Dhawan
V Kohli,0.5,0.25,0.25,0,0,0,0,0,,3,4,75,BE Hendricks
V Kohli,0.2,0,0.2,0,0.4,0,0.2,0,bowled,16,5,320,Anureet Singh
AB de Villiers,0,1,0,0,0,0,0,0,,2,2,100,Sandeep Sharma
AB de Villiers,0,0.8,0,0,0.2,0,0,0,,8,5,160,R Dhawan
AB de Villiers,1,0,0,0,0,0,0,0,caught,0,2,0,AR Patel
Mandeep Singh,0,0.5,0,0,0.5,0,0,0,,5,2,250,Sandeep Sharma
Mandeep Singh,0.3333333333,0.6666666667,0,0,0,0,0,0,,2,3,66.66,BE Hendricks
Mandeep Singh,0,0.25,0.75,0,0,0,0,0,,7,4,175,R Dhawan
Mandeep Singh,0.4,0.4,0,0,0.2,0,0,0,caught,6,5,120,AR Patel
KD Karthik,0.6666666667,0.3333333333,0,0,0,0,0,0,caught,1,3,33.33,BE Hendricks
KD Karthik,0,1,0,0,0,0,0,0,,1,1,100,AR Patel
SN Khan,0.6666666667,0.3333333333,0,0,0,0,0,0,caught,1,3,33.33,Anureet Singh
SN Khan,0,1,0,0,0,0,0,0,,3,3,100,AR Patel
D Wiese,0.25,0.75,0,0,0,0,0,0,,3,4,75,Anureet Singh
D Wiese,0,1,0,0,0,0,0,0,,1,1,100,AR Patel
